ID,altitude_in_m,min_max,time,time_decimals,time_peak
279482,1116.0,max,00:14,0.2,0.1
286209,1404.0,max,01:30,1.5,1.0
885325,1118.0,max,00:40,0.7,0.5
238951,593.0,max,02:30,2.5,1.7
296997,2326.0,max,07:15,7.2,4.8
714935,873.0,max,02:25,2.4,1.6
777872,618.0,max,02:15,2.2,1.5
514912,1784.0,max,04:15,4.2,2.8
210492,914.0,max,01:18,1.3,0.9
787145,1818.0,max,05:55,5.9,3.9
238950,573.0,max,02:30,2.5,1.7
130693,420.0,max,01:00,1.0,0.7
645538,1201.0,max,02:40,2.7,1.8
130094,1457.0,max,04:00,4.0,2.7
551073,1908.0,max,01:45,1.8,1.2
593365,1320.0,max,00:37,0.6,0.4
1034405,434.0,max,02:00,2.0,1.3
286211,980.0,max,02:07,2.1,1.4
130841,957.0,max,06:00,6.0,4.0
482948,1996.0,max,04:30,4.5,3.0
318706,1981.0,max,06:30,6.5,4.3
131434,1830.0,max,06:15,6.2,4.1
239614,2234.0,max,03:00,3.0,2.0
551071,2274.0,max,00:35,0.6,0.4
130599,540.0,max,02:15,2.2,1.5
216682,696.0,max,01:10,1.2,0.8
131564,466.0,max,01:37,1.6,1.1
551093,1126.0,max,02:57,3.0,2.0
130704,589.0,max,03:30,3.5,2.3
318779,421.0,max,12:45,12.8,8.5
131384,1324.0,max,03:11,3.2,2.1
238959,464.0,max,01:30,1.5,1.0
175679,2168.0,max,03:57,4.0,2.7
130057,1435.0,max,06:00,6.0,4.0
130845,1374.0,max,06:00,6.0,4.0
919482,1041.0,max,00:05,0.1,0.1
180187,1191.0,max,03:49,3.8,2.5
130067,1459.0,max,03:30,3.5,2.3
114356,499.0,max,02:34,2.6,1.7
767106,1184.0,max,04:50,4.8,3.2
598331,2371.0,max,06:45,6.8,4.5
130536,590.0,max,02:30,2.5,1.7
276249,681.0,max,04:50,4.8,3.2
130839,1024.0,max,02:30,2.5,1.7
302274,791.0,max,02:28,2.5,1.7
130757,523.0,max,01:15,1.2,0.8
130518,571.0,max,02:00,2.0,1.3
304861,1630.0,max,02:00,2.0,1.3
130750,427.0,max,02:00,2.0,1.3
556760,775.0,max,09:04,9.1,6.1
156765,551.0,max,03:36,3.6,2.4
1038354,1138.0,max,02:20,2.3,1.5
130603,575.0,max,05:15,5.2,3.5
130071,1360.0,max,03:00,3.0,2.0
229112,650.0,max,02:05,2.1,1.4
